"","Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type"
"211","Rouge 2016","France","Bordeaux","Bad Boy (Mauvais Garçon)",3.9,106,16.9,"2016","Red"
"212","Côte de Nuits Villages Le Vaucrain 2016","France","Côte de Nuits Villages","Louis Jadot",4,106,32,"2016","Red"
"213","Vino Nobile di Montepulciano 2016","Italy","Vino Nobile di Montepulciano","Talosa",3.9,106,17.79,"2016","Red"
"214","Yotuel Selección 2014","Spain","Ribera del Duero","Gallego Zapatero",3.6,106,15.75,"2014","Red"
"215","Lanzaga Rioja 2014","Spain","Rioja","Telmo Rodriguez",3.8,106,19.95,"2014","Red"
"216","Elysian Collection Merlot 2016","United States","California","Bonterra",3.8,106,26.7,"2016","Red"
"217","La Tiare du Pape Châteauneuf-du-Pape Rouge 2015","France","Châteauneuf-du-Pape","Maison Bouachon",3.9,106,45,"2015","Red"
"218","Spätburgunder Trocken 2015","Germany","Pfalz","Ökonomierat Rebholz",3.9,106,21.4,"2015","Red"
"219","El Chocolatero Cariñena 2014","Spain","Cariñena","San Valero",3.2,106,7.75,"2014","Red"
"220","Hermitage La Chapelle Rouge 2016","France","Hermitage","Paul Jaboulet Aîné",4.3,106,249.95,"2016","Red"
"221","Mas Oliveras Tempranillo 2018","Spain","Catalunya","Ramón Roqueta",3.2,106,6.5,"2018","Red"
"222","Pannobile 2015","Austria","Burgenland","Pittnauer",3.9,106,22.13,"2015","Red"
"223","Tempus 2018","Italy","Veneto","Stefano Accordini",3.8,106,10.42,"2018","Red"
"224","Le Clos des Fées (Hervé Bizeul) 2013","France","Côtes du Roussillon","Domaine du Clos des Fées",4.1,106,52.53,"2013","Red"
"225","Tío Martín Crianza 2016","Spain","Rioja","D. Mateos",3.8,106,15.69,"2016","Red"
"226","Vigna Del Mandorlo Dolcetto d'Alba 2017","Italy","Dolcetto d'Alba","Elvio Cogno",3.4,106,11.5,"2017","Red"
"227","Barolo Bussia 2015","Italy","Barolo","Prunotto",4.1,106,69,"2015","Red"
"228","Tinto 2015","Spain","Rioja","Gran Familia",3.5,106,5.8,"2015","Red"
"229","Finca Cuesta Clara Raro Reserva 2015","Spain","Rioja","Campillo",4.2,106,39.99,"2015","Red"
"230","Fronsac 2005","France","Fronsac","Château la Vieille Cure",4,106,39.95,"2005","Red"
"231","Ventoux 2016","France","Ventoux","Xavier Vignon",3.6,106,8.2,"2016","Red"
"232","Hussonet Cabernet Sauvignon Gran Reserva 2015","Chile","Maipo Valley","Haras de Pirque",3.7,1060,15.95,"2015","Red"
"233","Salice Salentino Riserva 2016","Italy","Salice Salentino","Marchese di Borgosole",3.9,1061,8.49,"2016","Red"
"234","Chianti Classico 2016","Italy","Chianti Classico","Isole e Olena",3.9,1063,20.86,"2016","Red"
"235","Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2016","Italy","Südtirol - Alto Adige","J. Hofstätter",3.6,1064,13.48,"2016","Red"
"236","Brunello di Montalcino 2014","Italy","Brunello di Montalcino","Tenuta Il Poggione",4.2,1065,36.63,"2014","Red"
